date,player,typeDesc,description
2025-04-26,Troy Taylor,Recalled,Seattle Mariners recalled RHP Troy Taylor from Tacoma Rainiers.
2025-04-26,Tayler Saucedo,Recalled,Seattle Mariners recalled LHP Tayler Saucedo from Tacoma Rainiers.
2025-04-27,Logan Evans,Selected,Seattle Mariners selected the contract of RHP Logan Evans from Tacoma Rainiers.
2025-04-29,Samad Taylor,Selected,Seattle Mariners selected the contract of 2B Samad Taylor from Tacoma Rainiers.
2025-04-30,Rhylan Thomas,Selected,Seattle Mariners selected the contract of LF Rhylan Thomas from Tacoma Rainiers.
2025-05-09,Troy Taylor,Recalled,Seattle Mariners recalled RHP Troy Taylor from Tacoma Rainiers.
2025-05-14,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Díaz from Tacoma Rainiers.
2025-05-20,Casey Lawrence,Selected,Seattle Mariners selected the contract of RHP Casey Lawrence from Tacoma Rainiers.
2025-05-21,Jesse Hahn,Selected,Seattle Mariners selected the contract of RHP Jesse Hahn from Tacoma Rainiers.
2025-05-23,Blas Castaño,Recalled,Seattle Mariners recalled RHP Blas Castano from Tacoma Rainiers.
2025-05-31,Cole Young,Selected,Seattle Mariners selected the contract of SS Cole Young from Tacoma Rainiers.
2025-06-04,Casey Legumina,Recalled,Seattle Mariners recalled RHP Casey Legumina from Tacoma Rainiers.
2025-06-09,Dominic Canzone,Recalled,Seattle Mariners recalled RF Dominic Canzone from Tacoma Rainiers.
2025-06-10,Logan Evans,Recalled,Seattle Mariners recalled RHP Logan Evans from Tacoma Rainiers.
2025-06-13,Zach Pop,Selected,Seattle Mariners selected the contract of RHP Zach Pop from Tacoma Rainiers.
2025-06-28,Juan Burgos,Selected,Seattle Mariners selected the contract of RHP Juan Burgos from Tacoma Rainiers.
2025-07-02,Joe Jacques,Selected,Seattle Mariners selected the contract of LHP Joe Jacques from Tacoma Rainiers.
2025-07-03,Logan Evans,Recalled,Seattle Mariners recalled RHP Logan Evans from Tacoma Rainiers.
2025-07-11,Tayler Saucedo,Recalled,Seattle Mariners recalled LHP Tayler Saucedo from Tacoma Rainiers.
2025-07-21,Brandyn Garcia,Selected,Seattle Mariners selected the contract of LHP Brandyn Garcia from Tacoma Rainiers.
2025-07-24,Jackson Kowar,Recalled,Seattle Mariners recalled RHP Jackson Kowar from Tacoma Rainiers.
2025-07-30,Tyler Locklear,Recalled,Seattle Mariners recalled 1B Tyler Locklear from Tacoma Rainiers.
2025-07-31,Miles Mastrobuoni,Recalled,Seattle Mariners recalled 3B Miles Mastrobuoni from Tacoma Rainiers.
2025-08-01,Jackson Kowar,Recalled,Seattle Mariners recalled RHP Jackson Kowar from Tacoma Rainiers.
2025-08-15,Tayler Saucedo,Recalled,Seattle Mariners recalled LHP Tayler Saucedo from Tacoma Rainiers.
2025-08-17,Miles Mastrobuoni,Recalled,Seattle Mariners recalled 3B Miles Mastrobuoni from Tacoma Rainiers.
2025-08-19,Sauryn Lao,Selected,Seattle Mariners selected the contract of RHP Sauryn Lao from Tacoma Rainiers.
2025-08-27,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2025-09-01,Harry Ford,Selected,Seattle Mariners selected the contract of C Harry Ford from Tacoma Rainiers.
2025-09-01,Leo Rivas,Recalled,Seattle Mariners recalled 2B Leo Rivas from Tacoma Rainiers.
